,transit
2008,5775
2009,4778
2010,4871
2011,4904
2012,4941
2013,4155
2014,3039
2015,0
2016,2256
2017,2198
2018,1147
2019,2453
2020,1713
2021,924
2022,0
2023,1337
2024,2598
2025,3224
2026,2840
2027,1648
2028,1093
2029,1572
2030,2887
2031,2770
2032,2806
2033,2351
2034,3908
2035,3115
2036,2716
2037,2796
2038,2939
2039,3333
2040,2842
2041,3158
2042,3188
2043,3253
2044,1945
2045,2463
2046,2426
2047,1628
2048,1815
2049,3432
2050,3907
2051,4214
2052,3712
2053,3964
2054,4560
2055,3808
2056,3899
2057,3902
2058,5179
2059,3141
2060,4230
2061,3908
2062,4340
2063,5114
2064,4404
2065,4879
2066,0
2067,4791
2068,1965
2069,4657
2070,3651
2071,5243
2072,2389
2073,4374
2074,1161
2075,2987
2076,4310
2077,3898
2078,3438
2079,5529
2080,4782
2081,1588
2082,4344
2083,4494
2084,3723
2085,4595
2086,5209
2087,639
2088,236
2089,2775
2090,3532
2091,4603
2092,0
2093,4002
2094,3619
2095,3655
2096,3508
2097,4638
2098,4729
2099,5982
2100,5166
2101,4293
2102,3598
2103,1427
2104,253
2105,4621
2106,4825
2107,4542
2108,2397
2109,673
2110,1244
2111,735
2112,821
2113,994
2114,436
2115,1112
2116,3954
2117,3804
2118,2652
2119,2332
2120,1630
2121,2326
2122,4107
2123,3143
2124,3306
2125,2521
2126,2940
2127,5845
2128,6138
2129,4539
2130,5199
2131,2840
2132,3717
2133,4622
2134,3663
2135,709
2136,3008
2137,3463
2138,1061
2139,2970
2140,1335
2141,4744
2142,4715
2143,3662
2144,3111
2145,4476
2146,4208
2147,2808
2148,4863
2149,4315
2150,1788
2151,3359
2152,2652
2153,596
2154,1374
2155,849
2156,2696
2157,1562
2158,2085
2159,2640
2160,2713
2161,4266
2162,4443
2163,2050
2164,2232
2165,4664
2166,4842
2167,5008
2168,4572
2169,2938
2170,444
2171,392
2172,4143
2173,3106
2174,3517
2175,1251
2176,4059
2177,2518
2178,4221
2179,2919
2180,4467
2181,3400
2182,2448
2183,2236
2184,247
2185,572
2186,3750
2187,4377
2188,4361
2189,4422
2190,4126
2191,2115
2192,2697
2193,242
2194,4032
2195,4956
2196,5583
2197,5711
2198,4826
2199,2083
2200,880
2201,1185
2202,233
2203,3537
2204,2865
2205,3695
2206,4303
2207,3856
2208,4184
2209,0
2210,4188
2211,3857
2212,3333
2213,4767
2214,4206
2215,4798
2216,4682
2217,3842
2218,4364
2219,6749
2220,2390
2221,245
2222,1804
2223,1840
2224,4282
2225,1943
2226,4873
2227,4345
2228,2354
2229,3482
2230,1223
2231,3125
2232,2447
2233,2854
2234,2093
2235,3461
2236,3907
2237,4088
2238,5248
2239,4447
2240,4060
2241,4052
2242,3525
2243,4149
2244,3170
2245,3375
2246,4743
2247,1325
2248,1202
2249,1492
2250,2307
2251,2427
2252,2382
2253,3219
2254,2024
2255,4217
2256,3951
2257,3738
2258,6217
2259,5769
2260,4940
2261,4592
2262,4718
2263,4788
2264,4960
2265,2289
2266,2564
2267,3364
2268,918
2269,905
2270,673
2271,931
2272,1243
2273,704
2274,292
2275,1248
2276,1718
2277,1430
2278,3175
2279,3596
2280,5710
2281,4918
2282,3368
2283,2847
2284,1237
2285,4656
2286,3804
2287,5142
2288,4233
2289,6214
2290,5651
2291,5836
2292,4333
2293,4798
2294,4430
2295,4184
2296,5835
2297,5893
2298,5680
2299,351
2300,390
2301,494
2302,597
2303,490
2304,1199
2305,3411
2306,3447
2307,2867
2308,3763
2309,4528
2310,4829
2311,4736
2312,4311
2313,4686
2314,4136
2315,4900
2316,0
2317,4487
2318,4352
2319,3704
2320,4046
2321,3885
2322,4061
2323,5266
2324,4584
2325,2927
2326,1733
2327,4245
2328,3438
2329,527
2330,1742
2331,4048
2332,3217
2333,344
2334,327
2335,0
2336,425
2337,531
2338,1364
2339,1950
2340,3197
2341,3692
2342,2509
2343,3308
2344,3947
2345,4285
2346,4397
2347,4754
2348,2765
2349,4615
2350,5048
2351,3152
2352,4451
2353,3201
2354,1632
2355,1596
2356,1199
2357,1161
2358,561
2359,2646
2360,2926
2361,2723
2362,2361
2363,1167
2364,1153
2365,1273
2366,694
2367,1716
2368,2072
2369,3037
2370,5079
2371,2743
2372,2923
2373,4060
2374,4406
2375,4632
2376,4182
2377,5223
2378,0
2379,4586
2380,6622
2381,6516
2382,7339
2383,0
2384,11449
2385,2212
2386,257
2387,3533
2388,4518
2389,4664
2390,4227
2391,744
2392,1052
2393,2952
2394,4584
2395,2167
2396,3261
2397,2733
2398,4129
2399,3780
2400,4426
2401,3455
2402,5191
2403,3552
2404,1332
2405,881
2406,842
2407,347
2408,1063
2409,1133
2410,3520
2411,4615
2412,4626
2413,2106
2414,3480
2415,5316
2416,4950
2417,3632
2418,2670
2419,2083
2420,1415
2421,801
2422,479
2423,488
2424,1268
2425,1168
2426,2287
2427,1527
2428,1647
2429,2786
2430,2969
2431,2696
2432,3029
2433,2623
2434,2501
2435,3895
2436,3762
2437,3088
2438,5337
2439,5057
2440,3803
2441,3941
2442,4340
2443,4353
2444,3995
2445,3531
2446,4679
2447,4679
2448,4814
2449,4112
2450,5205
2451,4613
2452,4338
2453,4492
2454,4125
2455,4285
2456,3979
2457,3169
2458,3522
2459,4069
2460,3626
2461,3568
2462,3167
2463,3333
2464,3411
2465,4008
2466,4124
2467,5218
